epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
55,2373.97,1.57937,1.11265,0.93977,0.43867,0.33073,0.30751,0.16721,1.51291,1.03055,0.90764,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,2416.65,1.58715,1.1153,0.94077,0.42609,0.33862,0.31022,0.16799,1.50107,1.02592,0.90608,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,2458.81,1.57725,1.10596,0.94031,0.42633,0.33761,0.31448,0.17228,1.48703,1.02203,0.90386,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,2500.94,1.57524,1.10665,0.9379,0.4314,0.33652,0.3109,0.16995,1.49479,1.02476,0.90437,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,2543.49,1.57725,1.10541,0.93807,0.4576,0.3301,0.31403,0.17274,1.48596,1.02008,0.90336,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,2585.62,1.5713,1.09866,0.93684,0.44328,0.34028,0.31764,0.17425,1.49255,1.02188,0.90448,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,2628.12,1.57603,1.10362,0.93794,0.43947,0.33447,0.31249,0.1725,1.49811,1.02469,0.90332,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,2670.12,1.56455,1.09108,0.93459,0.4431,0.33693,0.31596,0.17364,1.48602,1.01682,0.90219,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,2712.39,1.57005,1.09297,0.93656,0.45017,0.33383,0.31545,0.17235,1.48377,1.01671,0.90153,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,2754.49,1.56668,1.08967,0.93511,0.44226,0.33984,0.31752,0.17235,1.49399,1.02054,0.90287,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,2796.72,1.56884,1.09484,0.93503,0.44152,0.34037,0.31949,0.17402,1.4974,1.01961,0.90322,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,2838.5,1.55685,1.09014,0.93652,0.4469,0.33997,0.3184,0.17336,1.48585,1.01618,0.9018,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,2880.7,1.56237,1.08603,0.9338,0.43954,0.3403,0.31518,0.17282,1.4841,1.01608,0.90244,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,2922.6,1.56016,1.08553,0.93272,0.44707,0.34281,0.31999,0.17461,1.48293,1.01218,0.9008,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,2964.85,1.55659,1.08272,0.93336,0.45636,0.33536,0.31968,0.17448,1.48737,1.01235,0.90206,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
