epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
59,2162.9,1.58348,1.11402,0.93885,0.43907,0.33747,0.31232,0.17147,1.50268,1.03151,0.90544,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,2198.98,1.57653,1.10791,0.93764,0.44606,0.33217,0.31281,0.17055,1.51129,1.03308,0.9063,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,2234.94,1.58237,1.11319,0.9389,0.43172,0.33773,0.30683,0.16701,1.52665,1.0394,0.90645,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,2270.61,1.56878,1.10038,0.93529,0.439,0.33306,0.31183,0.17072,1.50839,1.03202,0.90552,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,2307.26,1.57495,1.10269,0.9368,0.43633,0.33391,0.30889,0.16866,1.5002,1.03481,0.90412,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,2342.98,1.57325,1.10079,0.93604,0.43613,0.3372,0.3133,0.1702,1.51036,1.03116,0.90396,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,2378.91,1.57479,1.10433,0.93514,0.4271,0.34044,0.31244,0.17062,1.50947,1.03181,0.90432,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,2414.61,1.56362,1.10037,0.9371,0.43785,0.3366,0.31078,0.16751,1.53988,1.03656,0.90913,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,2450.68,1.56944,1.0969,0.93508,0.42928,0.34142,0.31323,0.16988,1.52688,1.02958,0.906,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,2486.43,1.56512,1.09492,0.93365,0.43777,0.33974,0.31313,0.17055,1.50049,1.0239,0.90376,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,2522.39,1.56474,1.09227,0.93456,0.43045,0.33798,0.31234,0.17179,1.49157,1.02269,0.90214,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,2558.3,1.55428,1.09026,0.93494,0.43555,0.34219,0.31394,0.17082,1.50935,1.02355,0.90434,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,2594.34,1.55085,1.0845,0.93452,0.42554,0.34442,0.31555,0.17293,1.48961,1.01936,0.90167,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,2630.07,1.5586,1.08866,0.93257,0.42848,0.33978,0.31499,0.17194,1.49749,1.01837,0.90218,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,2666.16,1.55525,1.08951,0.93232,0.43726,0.34173,0.31529,0.17097,1.5034,1.02063,0.90359,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,2701.94,1.56066,1.08707,0.93246,0.43897,0.34026,0.31556,0.17085,1.50843,1.02196,0.90403,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,2737.85,1.54948,1.0818,0.93095,0.44168,0.34066,0.31855,0.17319,1.50134,1.02077,0.90368,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,2773.8,1.553,1.07956,0.93032,0.4407,0.3413,0.31767,0.17228,1.50172,1.01802,0.90268,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,2809.84,1.54471,1.07805,0.92766,0.43366,0.34662,0.31789,0.17339,1.5048,1.01766,0.90381,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,2845.35,1.54669,1.07658,0.92852,0.43485,0.34675,0.3175,0.17301,1.50477,1.01898,0.90461,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,2881.31,1.5486,1.07482,0.92965,0.42747,0.34775,0.31691,0.17288,1.4946,1.01487,0.90203,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,2917.3,1.54901,1.07658,0.92848,0.43898,0.33694,0.31559,0.17337,1.47804,1.01059,0.89938,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,2953.16,1.54378,1.07425,0.92882,0.43612,0.34194,0.31735,0.17305,1.50323,1.01619,0.9023,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,2988.82,1.53926,1.0671,0.92874,0.4343,0.34442,0.31764,0.17444,1.4862,1.01238,0.9005,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,3024.93,1.53689,1.06367,0.92707,0.43433,0.34401,0.3171,0.17423,1.48139,1.0128,0.90026,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,3060.58,1.5386,1.06533,0.92634,0.43079,0.34411,0.31798,0.17575,1.47614,1.00894,0.89891,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,3096.46,1.53154,1.05763,0.92527,0.43126,0.34549,0.31822,0.17535,1.48459,1.01014,0.90048,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,3132.25,1.5408,1.06488,0.92608,0.42944,0.3492,0.31958,0.17531,1.48724,1.01036,0.90043,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,3168.07,1.52921,1.05914,0.92705,0.42933,0.34582,0.3169,0.17394,1.48742,1.01218,0.90021,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,3203.81,1.54207,1.06308,0.9254,0.44007,0.34406,0.3202,0.17623,1.48477,1.00831,0.89997,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,3239.86,1.52301,1.05,0.92413,0.4384,0.34631,0.32044,0.17632,1.4822,1.00705,0.90005,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,3275.56,1.52905,1.0547,0.92526,0.43787,0.34854,0.31969,0.17543,1.48744,1.00862,0.9007,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,3311.6,1.41444,0.95729,0.91039,0.42732,0.34867,0.31662,0.17354,1.48773,1.01312,0.90088,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,3345.63,1.40566,0.93829,0.90762,0.43246,0.34636,0.3162,0.17323,1.48877,1.01202,0.90055,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,3380.21,1.39188,0.9277,0.9068,0.44213,0.34378,0.31688,0.17373,1.49097,1.01139,0.90034,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,3414.38,1.39135,0.92522,0.90502,0.44535,0.3396,0.31709,0.17396,1.48805,1.01053,0.89995,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,3448.8,1.3878,0.92054,0.9041,0.4425,0.343,0.31816,0.174,1.4902,1.00959,0.89995,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,3483.26,1.38793,0.91869,0.90356,0.44007,0.34328,0.31803,0.1742,1.48738,1.00805,0.89966,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,3517.85,1.38391,0.91493,0.90232,0.43682,0.3453,0.31821,0.17411,1.48692,1.00844,0.89958,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,3552.06,1.38487,0.91097,0.90313,0.43823,0.34453,0.31828,0.17377,1.4865,1.00846,0.89966,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,3586.58,1.38165,0.91121,0.90271,0.44159,0.34105,0.31791,0.17417,1.48668,1.00849,0.89962,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,3620.7,1.38113,0.90867,0.90159,0.44079,0.34232,0.31834,0.17461,1.48595,1.00816,0.89966,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
