epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
45,2048.44,1.44091,0.96324,0.91465,0.51568,0.38659,0.37823,0.21187,1.3942,0.94037,0.88312,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,2092.28,1.45057,0.96875,0.91102,0.49127,0.39423,0.3765,0.2117,1.39787,0.94441,0.88263,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,2135.92,1.4416,0.95996,0.91123,0.51042,0.37827,0.37485,0.21202,1.3875,0.94405,0.88353,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,2179.64,1.44308,0.9655,0.91163,0.52041,0.38054,0.37854,0.21197,1.39279,0.9446,0.88331,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,2223.3,1.43597,0.95417,0.90893,0.50259,0.38987,0.37873,0.21491,1.37709,0.94327,0.88138,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,2266.91,1.43486,0.95415,0.90806,0.52231,0.39061,0.38247,0.21631,1.38044,0.93588,0.88018,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,2310.48,1.43443,0.95322,0.90858,0.5296,0.3903,0.38289,0.21615,1.38003,0.93626,0.88128,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,2354.17,1.42547,0.94511,0.90735,0.52334,0.39166,0.38347,0.21656,1.38811,0.93338,0.88019,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,2398.46,1.43442,0.95117,0.90977,0.5173,0.38299,0.37753,0.2155,1.35956,0.93108,0.87834,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,2442.24,1.43603,0.94456,0.90755,0.50797,0.38856,0.37967,0.21663,1.36678,0.93247,0.87897,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
