epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
61,4296.63,1.62465,1.29686,1.15137,0.46698,0.35637,0.33671,0.18476,1.55992,1.19684,1.10565,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,4364.83,1.61699,1.28217,1.14836,0.46473,0.3536,0.33522,0.18486,1.55076,1.19218,1.10215,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,4433.51,1.62173,1.28966,1.15038,0.45582,0.3565,0.33702,0.18587,1.5514,1.19378,1.10031,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,4502.5,1.61279,1.28121,1.14648,0.45826,0.36011,0.3395,0.18679,1.55279,1.19045,1.10244,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,4571.36,1.61763,1.29073,1.14555,0.46461,0.36284,0.34199,0.18953,1.53917,1.19077,1.09756,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,4641,1.61122,1.27914,1.14416,0.46443,0.36424,0.3417,0.18907,1.54065,1.18508,1.09564,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,4709.04,1.60435,1.28074,1.14639,0.46419,0.35714,0.33983,0.18867,1.54368,1.18634,1.09725,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,4777.53,1.60783,1.27713,1.14231,0.45989,0.36056,0.34301,0.18956,1.53921,1.18223,1.09557,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,4846.08,1.60373,1.27264,1.14125,0.46361,0.36573,0.3435,0.18953,1.54123,1.18391,1.0954,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,4914.68,1.6039,1.27517,1.14448,0.46197,0.36537,0.34513,0.19201,1.53707,1.18098,1.09417,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,4983.21,1.60502,1.26976,1.1388,0.47399,0.36152,0.34424,0.19064,1.54057,1.17742,1.09454,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,5051.96,1.59833,1.26418,1.13851,0.47256,0.36272,0.34544,0.19077,1.54877,1.17892,1.09671,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,5120.45,1.60555,1.27132,1.13691,0.46797,0.36654,0.34461,0.19092,1.54095,1.17785,1.09542,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,5189.33,1.59821,1.26361,1.13522,0.47109,0.36685,0.34775,0.19233,1.54398,1.175,1.09441,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,5257.53,1.594,1.25874,1.13276,0.46487,0.371,0.34737,0.19366,1.53359,1.17315,1.09127,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,5325.94,1.59429,1.26102,1.13135,0.4693,0.37295,0.34843,0.19251,1.54075,1.17338,1.09288,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,5394.13,1.58845,1.25369,1.12921,0.47027,0.36734,0.34795,0.1916,1.54398,1.17419,1.09234,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,5462.31,1.58867,1.25128,1.12977,0.47315,0.36493,0.34584,0.19116,1.54039,1.17231,1.09176,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,5531.42,1.58477,1.25047,1.12654,0.47451,0.36563,0.34748,0.19318,1.53486,1.17142,1.08998,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,5600.66,1.59513,1.25477,1.1323,0.47193,0.36429,0.3467,0.19285,1.53666,1.17098,1.08966,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,5668.86,1.59835,1.25926,1.13024,0.48366,0.36735,0.34831,0.1927,1.53837,1.16982,1.09005,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,5737.3,1.5822,1.24372,1.12482,0.47805,0.36766,0.3489,0.1926,1.53846,1.16858,1.09013,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,5806.84,1.58498,1.24731,1.1248,0.47495,0.36928,0.35003,0.19483,1.52927,1.16683,1.08685,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,5875.36,1.57888,1.24094,1.12249,0.4788,0.36904,0.35041,0.1952,1.52616,1.16598,1.08609,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,5943.36,1.57735,1.23772,1.12284,0.47257,0.37174,0.35039,0.19516,1.52956,1.16728,1.0856,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,6011.29,1.58293,1.24106,1.12221,0.47748,0.36736,0.34841,0.19425,1.52838,1.16701,1.08544,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,6079.38,1.57405,1.23553,1.12208,0.48599,0.36425,0.34973,0.19513,1.52346,1.16433,1.08343,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,6147.47,1.58162,1.23995,1.12368,0.48529,0.3675,0.35011,0.19579,1.52002,1.16469,1.0826,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,6216.08,1.57648,1.23334,1.11726,0.4807,0.37066,0.35078,0.19654,1.51842,1.16287,1.08205,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,6285.7,1.5631,1.22479,1.1174,0.486,0.36931,0.35168,0.1965,1.51955,1.16384,1.0818,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,6351.33,1.47726,1.11828,1.1002,0.48242,0.36535,0.34935,0.19392,1.52422,1.16557,1.0836,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,6415.78,1.46283,1.09556,1.09184,0.48294,0.36434,0.34902,0.19422,1.52215,1.16415,1.08212,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,6480.48,1.45835,1.09097,1.08978,0.48498,0.36501,0.34855,0.19473,1.52002,1.16425,1.081,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,6545.18,1.45698,1.08896,1.09144,0.48639,0.36448,0.34912,0.19471,1.51895,1.1619,1.08061,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,6609.38,1.45384,1.08455,1.08986,0.48628,0.36337,0.34963,0.19482,1.51827,1.16003,1.07999,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,6673.9,1.45089,1.07944,1.08507,0.49636,0.3598,0.34979,0.19476,1.52025,1.15927,1.08036,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,6738.06,1.44672,1.07721,1.08511,0.49155,0.36133,0.35074,0.1955,1.51843,1.15857,1.07961,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,6802.31,1.4456,1.07193,1.08459,0.48817,0.36297,0.35064,0.19547,1.5205,1.15908,1.08002,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,6866.51,1.44196,1.07208,1.08281,0.48899,0.36256,0.34966,0.19495,1.52116,1.15936,1.08,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,6930.92,1.44149,1.06917,1.08347,0.49134,0.36075,0.34943,0.19529,1.52079,1.15931,1.07967,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
